ticker,strategy,total_return,buy_hold_return,avg_window_return,avg_sharpe,consistency,num_windows,winning_windows,beats_buy_hold,final_value,return_zscore,sharpe_zscore,composite_score
AAPL,macd_only,809.2633321505978,296.0294920228816,0.0286648823385552,0.5873474300970501,0.4866666666666667,300,146,True,8102633.321505978,,,
AAPL,ma_crossover,39.289406525767134,296.0294920228816,0.0179898316326973,0.2692095439056742,0.41,300,123,False,402894.06525767135,,,
AAPL,bollinger_bands,1997.7583639597951,296.0294920228816,0.0316057983887856,0.9888725001703584,0.6233333333333333,300,187,True,19987583.639597952,,,
ACGL,rsi_classic,2838.16548518342,58.72922926682692,0.0301217094999451,0.9869475345722664,0.57,300,171,True,28391654.8518342,5.0593920794450895,2.4034813406355937,2.466862026024205
AXON,rsi_classic,2349.4932075401484,1158.8835483911544,0.0429295670724098,0.6099349228143764,0.4632352941176471,272,126,True,23504932.075401485,4.124971015324778,0.20092689817167905,1.483063491695996
APP,rsi_classic,68.1678520519532,8.86086087021531,0.1255733344151446,1.0850395029767963,0.6170212765957447,47,29,True,691678.520519532,-0.23729499362625833,2.9765467873643954,1.0685840487597391
AMAT,rsi_classic,708.8535407355133,6.83591971197632,0.0284982536867263,0.7805402468594261,0.4864864864864865,296,144,True,7098535.407355133,0.987800495468323,1.1976243630955592,0.8502220521637592
AVGO,rsi_classic,332.8869248090076,176.84501781025887,0.0375632902598065,0.7930948994065531,0.449438202247191,178,80,True,3338869.2480900763,0.26889103119088886,1.2709702005526444,0.6417336504219364
AME,rsi_classic,213.29937582937785,70.82000659384566,0.0204948346689972,0.8070843525775396,0.4916943521594684,301,148,True,2142993.758293778,0.04022014093290107,1.3526983212267203,0.6145532795116737
AMZN,rsi_classic,759.2376878127374,72.83232969500591,0.0296627142903907,0.6043391618186631,0.4418604651162791,301,133,True,7602376.878127374,1.0841431989131503,0.16823576833756732,0.5524578762217269
